GeneratedTopic,YearMonth,Count
8,2015-10,54
8,2015-11,47
8,2015-12,39
8,2016-01,52
8,2016-02,53
8,2016-03,56
8,2016-04,48
8,2016-05,43
8,2016-06,76
8,2016-07,65
8,2016-08,59
8,2016-09,69
8,2016-10,51
8,2016-11,61
8,2016-12,41
8,2017-01,42
8,2017-02,49
8,2017-03,62
8,2017-04,44
8,2017-05,58
8,2017-06,50
8,2017-07,65
8,2017-08,59
8,2017-09,66
8,2017-10,41
8,2017-11,45
8,2017-12,47
8,2018-01,53
8,2018-02,55
8,2018-03,63
8,2018-04,37
8,2018-05,46
8,2018-06,45
8,2018-07,55
8,2018-08,67
8,2018-09,60
8,2018-10,57
8,2018-11,36
8,2018-12,52
8,2019-01,63
8,2019-02,51
8,2019-03,58
8,2019-04,71
8,2019-05,53
8,2019-06,41
8,2019-07,57
8,2019-08,58
8,2019-09,50
8,2019-10,64
8,2019-11,41
8,2019-12,51
8,2020-01,71
8,2020-02,64
8,2020-03,54
8,2020-04,55
8,2020-05,57
8,2020-06,48
8,2020-07,38
8,2020-08,56
8,2020-09,33
8,2020-10,54
8,2020-11,49
8,2020-12,32
8,2021-01,54
8,2021-02,53
8,2021-03,47
8,2021-04,46
8,2021-05,36
8,2021-06,56
8,2021-07,53
8,2021-08,34
8,2021-09,36
8,2021-10,39
8,2021-11,26
8,2021-12,6
9,2010-11,1
9,2010-12,3
9,2011-01,1
9,2011-02,1
9,2011-03,2
9,2011-04,5
9,2011-05,2
9,2011-06,5
9,2011-07,3
9,2011-09,2
9,2011-10,2
9,2011-11,2
9,2011-12,2
9,2012-01,1
9,2012-03,1
9,2012-06,2
9,2012-07,3
9,2012-08,3
9,2012-10,1
9,2012-11,1
9,2012-12,2
9,2013-01,1
9,2013-02,1
9,2013-03,1
9,2013-04,1
9,2013-05,2
9,2013-07,1
9,2013-09,3
9,2013-10,3
9,2013-12,4
9,2014-02,2
9,2014-04,1
9,2014-06,1
9,2014-08,1
9,2014-09,1
9,2014-12,1
9,2015-01,1
9,2015-02,1
9,2015-03,1
9,2015-08,3
9,2015-12,1
9,2016-03,1
9,2016-04,2
9,2016-05,1
9,2016-07,1
9,2016-08,1
9,2016-10,1
9,2016-11,1
9,2016-12,1
9,2017-04,2
9,2017-06,1
9,2017-07,1
9,2017-08,1
9,2017-09,2
9,2018-01,2
9,2018-02,1
9,2018-03,1
9,2018-04,1
9,2018-05,2
9,2018-07,1
9,2018-08,1
9,2018-11,1
9,2018-12,2
9,2019-01,1
9,2019-04,1
9,2019-06,1
9,2019-07,1
9,2019-08,1
9,2019-10,1
9,2020-02,2
9,2020-03,2
9,2020-04,1
9,2020-05,1
9,2020-06,2
9,2020-07,1
9,2020-08,1
9,2020-09,1
9,2020-10,1
9,2020-12,2
9,2021-01,1
9,2021-02,2
9,2021-04,1
9,2021-05,2
9,2021-06,1
9,2021-07,1
9,2021-08,2
9,2021-09,5
9,2021-12,1
